num,id,Province,Place,time,ph,sol,amm,per,toc,Points,Result,Y,rain
1,5,Zhongqing,Zhutuo,2015120104,8.17,9.87,1.05,9999,0.29,5,Clean,0,1.8
1,8,Zhejiang,Huzhouxintanggang,2015120104,7.42,8.38,2.18,9999,0.61,7,Clean,0,0
1,12,Henan,Jiyuanxiaolangdi,2015120104,8.54,8.89,1.92,9999,0.23,5,Clean,0,0.7
1,16,Hunan,Yueyangchenglingji,2015120104,7.66,8.54,2.51,9999,0.42,6,Clean,0,0
1,19,Jiangsu,Xuyi,2015120104,7.54,9.85,4.26,9999,0.27,7,Clean,0,0
1,20,Jiangsu,Peicang,2015120104,7.95,10.38,4.47,4.3,0.26,7,Clean,0,0.4
1,53,Beijing,Gubeikou,2015120104,8.41,10.23,2.18,9999,0.22,6,Clean,0,0
1,54,Tianjin,Guoheqiao,2015120104,7.69,6.37,-1,2.39,0.45,5,Clean,0,0
1,56,Anhui,Anqingwanhekou,2015120104,7.56,8.43,3.18,9999,0.03,5,Clean,0,0
1,59,Anhui,Jieshouqidukou,2015120104,7.88,6.62,5.3,6.21,1.31,10,Polluted,1,0
1,61,Liaoning,Panjinxingan,2015120104,6.68,10.14,3.1,5.57,0.78,7,Clean,0,0
1,62,Yunnan,Kunmingxiyuansuidao,2015120104,7.83,7.32,4.79,9999,0.53,9,Clean,0,0
1,64,Guangdong,Qingyuanqixinggang,2015120104,7.23,10.85,1.09,0.88,0.27,5,Clean,0,0.2
1,66,Hebei,Zhangjiakoubahaoqiao,2015120104,7.05,9.74,1.6,9999,0.84,6,Clean,0,0
1,67,Jilin,Changchunsonghuajiangcun,2015120104,7.28,9.83,2.93,9999,0.29,6,Clean,0,0
1,68,Jilin,Baichengbaishatan,2015120104,7.68,9.33,3.8,9999,0.21,6,Clean,0,0
1,70,Liaoning,Yingkouliaohegongyuan,2015120104,7,0.85,3.28,4.17,1.33,17,Polluted,1,0
1,73,Beijing,Mentougouyanhecheng,2015120104,8.68,10.99,1.74,9999,0.12,4,Clean,0,0
1,74,Sichuan,Panzhihualongdong,2015120104,8.22,8.53,1.46,9999,-1,3,Clean,0,0
1,76,Jiangxi,Jiujianghexishuichang,2015120104,7.65,11.05,2.33,9999,0.19,6,Clean,0,0
1,78,Anhui,Chaohuyuxikou,2015120104,7.88,9.98,3.07,3.88,-1,4,Clean,0,0
1,79,Guangxi,Wuzhoujieshou,2015120104,7.26,10.18,-1,9999,0.21,4,Clean,0,1.3
1,80,Guangxi,Nanninglaokou,2015120104,7.85,6.15,1.6,9999,0.11,5,Clean,0,2.8
1,81,Gansu,Lanzhouxinchengqiao,2015120104,7.32,9.03,3.59,9999,0.16,6,Clean,0,0
