code,province,city
5,Zhongqing,Zhutuo
8,Zhejiang,Huzhouxintanggang
12,Henan,Jiyuanxiaolangdi
14,Heilongjiang,Zhaoyuan
16,Hunan,Yueyangchenglingji
18,Jiangsu,Nanjinglinshan
19,Jiangsu,Xuyi
20,Jiangsu,Peicang
32,Anhui,Funanwangjiaba
53,Beijing,Gubeikou
54,Tianjin,Guoheqiao
55,Henan,Zhoukouluyifuqiaozha
56,Anhui,Anqingwanhekou
57,Liaoning,Tielingzhuershan
58,Anhui,Huainanshitoubu
59,Anhui,Jieshouqidukou
60,Tianjin,Sanchakou
61,Liaoning,Panjinxingan
62,Yunnan,Kunmingxiyuansuidao
63,Guangdong,Guangzhouchangzhou
64,Guangdong,Qingyuanqixinggang
65,Hubei,Wuhanzongguan
66,Hebei,Zhangjiakoubahaoqiao
67,Jilin,Changchunsonghuajiangcun
68,Jilin,Baichengbaishatan
69,Heilongjiang,Tongjiang
70,Liaoning,Yingkouliaohegongyuan
72,Hebei,Shijiazhuanggangnanshuiku
73,Beijing,Mentougouyanhecheng
74,Sichuan,Panzhihualongdong
75,Hubei,Yichangnanjinguan
76,Jiangxi,Jiujianghexishuichang
77,Jiangsu,Wuxishazhu
78,Anhui,Chaohuyuxikou
79,Guangxi,Wuzhoujieshou
80,Guangxi,Nanninglaokou
81,Gansu,Lanzhouxinchengqiao
83,Neimenggu,Baotouhuajiangyingzi
84,Shanxi,Yunchenghejindaqiao
85,Shandong,Jinanbokou
97,Zhejiang,Jiaxingwangjiangjing
103,Jiangsu,Suzhouxishan
104,Zhejiang,Hangzhoujiukengkou
105,Anhui,Hefeihubin
106,Anhui,Huaibeixiaowangqiao
107,Hunan,Yueyangyueyanglou
108,Shanxi,Xinzhouwanjiazhai
109,Anhui,Bangbubangbuzha
110,Hunan,Changshaxingang
111,Jiangsu,Yixinglanshanzui
112,Jiangsu,Yangzhousanjiangying
113,Ningxia,Zhongweixindun
114,Jiangxi,Jiujianghamashi
115,Shandong,Linyiqingquansi
116,Liaoning,Fushundahuofangshuiku
117,Sichuan,Yibinliangjianggou
118,Sichuan,Luzhoutuojiangerqiao
119,Sichuan,Leshanminjiangdaqiao
120,Henan,Zhumadianbantai
121,Neimenggu,Wuhaihaibowan
122,Henan,Zhoukoushenqiuzha
123,Jiangxi,Nanchangchucha
124,Yunnan,Kunmingguanyinshan
125,Hubei,Danjiangkouhujialing
126,Guangxi,Guigangshizui
127,Guangxi,Pingxiangpingerguan
128,Fujian,Fuzhoubaiyantan
129,Shanghai,Qingpujishuigang
131,Guangxi,Guilinyangshuo
132,Liaoning,Liaoyangtangheshuiku
133,Heilongjiang,Heihe
134,Shandong,Zaozhuangtaierzhuang
135,Liaoning,Dandongyalvjiangqiao
136,Jilin,Yanbianquanhe
137,Henan,Nanyangtaocha
138,Shandong,Liaochengchenggouwan
139,Zhejiang,Jiaxingxielugang
140,Yunnan,Xishuangbannaganlanba
141,Shanxi,Weinantongguandiaoqiao
142,Guangdong,Zhongshanhenglan
143,Neimenggu,Hulunbeierheishantou
144,Heilongjiang,Fuyuanwusuzhen
146,Yunnan,Honghezhouhekou
147,Shandong,Linyizhongfangqiao
149,Anhui,Chuzhouxiaoliuxiang
150,Shandong,Linyilaogouqiao
151,Anhui,Suzhousixiangongluqiao
152,Jiangsu,Sihongdaqu
153,Jiangsu,Xuzhouxiaohongquan
154,Henan,Xinyanghuaibinshuiwenzhan
155,Anhui,Bozhouyanji
156,Jiangsu,Lianyungangdaxingqiao
157,Henan,Yongchenghuangkou
158,Sichuan,Guangyuanqingfengxia
159,Anhui,Suzhouyangzhuang
161,Anhui,Fuyangzhangdaqiao
162,Henan,Xinyangjiangjishuiwenzhan
164,Jiangsu,Xuzhoulijiqiao
166,Anhui,Fuyangxuzhuang
167,Guizhou,Chishuilianyuxi
168,Hubei,Ezhouqixing
172,Hunan,Yueyanglujiao
173,Hunan,Changdepotou
175,Hunan,Changdeshahekou
176,Hunan,Yiyangnanzui
177,Yunnan,Yuxigushan
178,Ningxia,Shizuishanmahuanggou
179,Gansu,Tianshuiniubei
180,Jilin,Jianshanghuolong
181,Qinghai,Huangshuiminheqiao
182,Neimenggu,Hulunbeiercuogang
183,Neimenggu,Hulunbeierdatieqiao
184,Hunan,Yiyangwanjiazui
185,Heilongjiang,Huma
186,Jilin,Linjiangweishahe
187,Jilin,Changbailvjiangcun
188,Jilin,Dunhuaxindian
189,Jilin,Xilangkou
190,Hainan,Changhuajiang
191,Heilongjiang,Hulin
192,Hainan,Haikoutieqiaocun
193,Jiangxi,Jiujiangduchang
194,Yunnan,Dehonggazhongqiao
195,Jilin,Songyuansonglin
196,Heilongjiang,Jiayin
