Stat_Code,Time,PH_Val,PH_Rank,O2_Val,O2_Rank,NH3_Val,NH3_Rank,MNO4_Val,MNO4_Rank,TOC_Val,TOC_Rank
5,01-12-2015 04:00,8.17,¢Ò,9.87,¢Ò,1.05,¢Ò,NA,NA,0.29,¢Ú
5,01-12-2015 08:00,8.17,¢Ò,9.7,¢Ò,1.01,¢Ò,NA,NA,0.29,¢Ú
5,01-12-2015 12:00,8.18,¢Ò,9.6,¢Ò,1.01,¢Ò,NA,NA,0.38,¢Ú
5,01-12-2015 16:00,8.17,¢Ò,9.8,¢Ò,1.01,¢Ò,NA,NA,0.26,¢Ú
5,01-12-2015 20:00,8.17,¢Ò,9.8,¢Ò,1.01,¢Ò,NA,NA,0.25,¢Ú
5,02-12-2015 00:00,8.16,¢Ò,9.7,¢Ò,1.01,¢Ò,NA,NA,0.25,¢Ú
5,02-12-2015 04:00,8.18,¢Ò,9.7,¢Ò,1.01,¢Ò,NA,NA,0.28,¢Ú
5,02-12-2015 08:00,8.17,¢Ò,9.8,¢Ò,1.01,¢Ò,NA,NA,0.25,¢Ú
5,02-12-2015 12:00,8.18,¢Ò,9.7,¢Ò,1.01,¢Ò,NA,NA,0.25,¢Ú
5,02-12-2015 16:00,8.18,¢Ò,10.6,¢Ò,1.01,¢Ò,NA,NA,0.25,¢Ú
5,02-12-2015 20:00,8.16,¢Ò,10.1,¢Ò,1.01,¢Ò,NA,NA,0.25,¢Ú
5,03-12-2015 00:00,8.16,¢Ò,10.2,¢Ò,1.01,¢Ò,NA,NA,0.26,¢Ú
5,03-12-2015 04:00,8.17,¢Ò,10.1,¢Ò,1.01,¢Ò,NA,NA,0.27,¢Ú
5,03-12-2015 08:00,8.17,¢Ò,10.06,¢Ò,1.01,¢Ò,NA,NA,0.25,¢Ú
5,03-12-2015 12:00,8.18,¢Ò,10.04,¢Ò,1.01,¢Ò,NA,NA,0.28,¢Ú
5,03-12-2015 16:00,8.17,¢Ò,9.9,¢Ò,1.01,¢Ò,NA,NA,0.26,¢Ú
5,03-12-2015 20:00,8.15,¢Ò,11,¢Ò,1.01,¢Ò,NA,NA,0.29,¢Ú
5,04-12-2015 00:00,8.16,¢Ò,10.2,¢Ò,1.01,¢Ò,NA,NA,0.23,¢Ú
5,04-12-2015 04:00,8.17,¢Ò,10.2,¢Ò,1.01,¢Ò,NA,NA,0.24,¢Ú
5,04-12-2015 08:00,8.18,¢Ò,10,¢Ò,1.01,¢Ò,NA,NA,0.25,¢Ú
5,04-12-2015 12:00,8.19,¢Ò,10.1,¢Ò,1.01,¢Ò,NA,NA,0.25,¢Ú
5,04-12-2015 16:00,8.17,¢Ò,9.9,¢Ò,1.01,¢Ò,NA,NA,0.26,¢Ú
