Province,Prefecture,County,Date(ignore),Month,Amt
shang-hai,shang-hai,shang-hai,20150201,1,53.6
shang-hai,shang-hai,shang-hai,20150301,2,81.8
shang-hai,shang-hai,shang-hai,20150401,3,95.3
shang-hai,shang-hai,shang-hai,20150501,4,85.4
shang-hai,shang-hai,shang-hai,20150601,5,100.6
shang-hai,shang-hai,shang-hai,20150701,6,377.7
shang-hai,shang-hai,shang-hai,20150801,7,205.5
shang-hai,shang-hai,shang-hai,20150901,8,252.7
shang-hai,shang-hai,shang-hai,20151001,9,119.8
shang-hai,shang-hai,shang-hai,20151101,10,77.4
shang-hai,shang-hai,shang-hai,20151201,11,106.4
shang-hai,shang-hai,shang-hai,20151231,12,73.9
shang-hai,shang-hai,jia-ding,20150201,1,54.8
shang-hai,shang-hai,jia-ding,20150301,2,78.2
shang-hai,shang-hai,jia-ding,20150401,3,93.7
shang-hai,shang-hai,jia-ding,20150501,4,86.1
shang-hai,shang-hai,jia-ding,20150601,5,120.6
shang-hai,shang-hai,jia-ding,20150701,6,433.4
shang-hai,shang-hai,jia-ding,20150801,7,166.2
shang-hai,shang-hai,jia-ding,20150901,8,308.8
shang-hai,shang-hai,jia-ding,20151001,9,107
shang-hai,shang-hai,jia-ding,20151101,10,44
shang-hai,shang-hai,jia-ding,20151201,11,96.3
shang-hai,shang-hai,jia-ding,20151231,12,72.1
shang-hai,shang-hai,feng-xian,20150201,1,52.3
shang-hai,shang-hai,feng-xian,20150301,2,103.5
shang-hai,shang-hai,feng-xian,20150401,3,103.3
shang-hai,shang-hai,feng-xian,20150501,4,117.5
shang-hai,shang-hai,feng-xian,20150601,5,103
shang-hai,shang-hai,feng-xian,20150701,6,214.9
shang-hai,shang-hai,feng-xian,20150801,7,226.5
shang-hai,shang-hai,feng-xian,20150901,8,252.8
shang-hai,shang-hai,feng-xian,20151001,9,139.4
shang-hai,shang-hai,feng-xian,20151101,10,74.9
shang-hai,shang-hai,feng-xian,20151201,11,153.9
shang-hai,shang-hai,feng-xian,20151231,12,87.3
shang-hai,shang-hai,bao-shan,20150201,1,57.4
shang-hai,shang-hai,bao-shan,20150301,2,79.1
shang-hai,shang-hai,bao-shan,20150401,3,91.7
shang-hai,shang-hai,bao-shan,20150501,4,87.6
shang-hai,shang-hai,bao-shan,20150601,5,131.4
shang-hai,shang-hai,bao-shan,20150701,6,462
shang-hai,shang-hai,bao-shan,20150801,7,171.7
shang-hai,shang-hai,bao-shan,20150901,8,122.5
shang-hai,shang-hai,bao-shan,20151001,9,135.4
shang-hai,shang-hai,bao-shan,20151101,10,48.1
shang-hai,shang-hai,bao-shan,20151201,11,110.4
shang-hai,shang-hai,bao-shan,20151231,12,76.3
shang-hai,shang-hai,chong-ming,20150201,1,40.7
shang-hai,shang-hai,chong-ming,20150301,2,73.7
shang-hai,shang-hai,chong-ming,20150401,3,100.5
shang-hai,shang-hai,chong-ming,20150501,4,86.5
shang-hai,shang-hai,chong-ming,20150601,5,80.3
shang-hai,shang-hai,chong-ming,20150701,6,621.1
shang-hai,shang-hai,chong-ming,20150801,7,157.9
shang-hai,shang-hai,chong-ming,20150901,8,103.9
shang-hai,shang-hai,chong-ming,20151001,9,137.7
shang-hai,shang-hai,chong-ming,20151101,10,56.6
shang-hai,shang-hai,chong-ming,20151201,11,136.1
shang-hai,shang-hai,chong-ming,20151231,12,91
shang-hai,shang-hai,xu-hui,20150201,1,53.6
shang-hai,shang-hai,xu-hui,20150301,2,81.8
shang-hai,shang-hai,xu-hui,20150401,3,95.3
shang-hai,shang-hai,xu-hui,20150501,4,85.4
shang-hai,shang-hai,xu-hui,20150601,5,100.6
shang-hai,shang-hai,xu-hui,20150701,6,377.7
shang-hai,shang-hai,xu-hui,20150801,7,205.5
shang-hai,shang-hai,xu-hui,20150901,8,252.7
shang-hai,shang-hai,xu-hui,20151001,9,119.8
shang-hai,shang-hai,xu-hui,20151101,10,77.4
shang-hai,shang-hai,xu-hui,20151201,11,106.4
shang-hai,shang-hai,xu-hui,20151231,12,73.9
shang-hai,shang-hai,song-jiang,20150201,1,55.1
shang-hai,shang-hai,song-jiang,20150301,2,100
shang-hai,shang-hai,song-jiang,20150401,3,121.2
shang-hai,shang-hai,song-jiang,20150501,4,96.1
shang-hai,shang-hai,song-jiang,20150601,5,104
shang-hai,shang-hai,song-jiang,20150701,6,263.1
shang-hai,shang-hai,song-jiang,20150801,7,137.1
shang-hai,shang-hai,song-jiang,20150901,8,179.7
shang-hai,shang-hai,song-jiang,20151001,9,149.1
shang-hai,shang-hai,song-jiang,20151101,10,87.2
shang-hai,shang-hai,song-jiang,20151201,11,116.9
shang-hai,shang-hai,song-jiang,20151231,12,70.8
shang-hai,shang-hai,pu-dong-xin-qu,20150201,1,63.5
shang-hai,shang-hai,pu-dong-xin-qu,20150301,2,98.6
shang-hai,shang-hai,pu-dong-xin-qu,20150401,3,127.8
shang-hai,shang-hai,pu-dong-xin-qu,20150501,4,110.1
shang-hai,shang-hai,pu-dong-xin-qu,20150601,5,73.9
shang-hai,shang-hai,pu-dong-xin-qu,20150701,6,276.1
shang-hai,shang-hai,pu-dong-xin-qu,20150801,7,240.6
shang-hai,shang-hai,pu-dong-xin-qu,20150901,8,336.6
shang-hai,shang-hai,pu-dong-xin-qu,20151001,9,129.3
shang-hai,shang-hai,pu-dong-xin-qu,20151101,10,113.5
shang-hai,shang-hai,pu-dong-xin-qu,20151201,11,130.8
shang-hai,shang-hai,pu-dong-xin-qu,20151231,12,70.7
shang-hai,shang-hai,jin-shan,20150201,1,57.8
shang-hai,shang-hai,jin-shan,20150301,2,108.9
shang-hai,shang-hai,jin-shan,20150401,3,113.8
shang-hai,shang-hai,jin-shan,20150501,4,137.8
shang-hai,shang-hai,jin-shan,20150601,5,109.6
shang-hai,shang-hai,jin-shan,20150701,6,219.4
shang-hai,shang-hai,jin-shan,20150801,7,272.1
shang-hai,shang-hai,jin-shan,20150901,8,239.2
shang-hai,shang-hai,jin-shan,20151001,9,170
shang-hai,shang-hai,jin-shan,20151101,10,81
shang-hai,shang-hai,jin-shan,20151201,11,135.7
shang-hai,shang-hai,jin-shan,20151231,12,81.4
shang-hai,shang-hai,min-xing,20150201,1,56.3
shang-hai,shang-hai,min-xing,20150301,2,90.3
shang-hai,shang-hai,min-xing,20150401,3,106.2
shang-hai,shang-hai,min-xing,20150501,4,82.5
shang-hai,shang-hai,min-xing,20150601,5,90.9
shang-hai,shang-hai,min-xing,20150701,6,313.8
shang-hai,shang-hai,min-xing,20150801,7,208.7
shang-hai,shang-hai,min-xing,20150901,8,208.7
shang-hai,shang-hai,min-xing,20151001,9,135.2
shang-hai,shang-hai,min-xing,20151101,10,95.2
shang-hai,shang-hai,min-xing,20151201,11,131.6
shang-hai,shang-hai,min-xing,20151231,12,77.3
shang-hai,shang-hai,qing-pu,20150201,1,57.2
shang-hai,shang-hai,qing-pu,20150301,2,90
shang-hai,shang-hai,qing-pu,20150401,3,101.8
shang-hai,shang-hai,qing-pu,20150501,4,80.2
shang-hai,shang-hai,qing-pu,20150601,5,104
shang-hai,shang-hai,qing-pu,20150701,6,320.7
shang-hai,shang-hai,qing-pu,20150801,7,120.1
shang-hai,shang-hai,qing-pu,20150901,8,264.3
shang-hai,shang-hai,qing-pu,20151001,9,118.2
shang-hai,shang-hai,qing-pu,20151101,10,78
shang-hai,shang-hai,qing-pu,20151201,11,102.4
shang-hai,shang-hai,qing-pu,20151231,12,77.2
yun-nan,lin-cang,lin-cang,20150201,1,177.8
yun-nan,lin-cang,lin-cang,20150301,2,3.6
yun-nan,lin-cang,lin-cang,20150401,3,14
yun-nan,lin-cang,lin-cang,20150501,4,30.3
yun-nan,lin-cang,lin-cang,20150601,5,31.3
yun-nan,lin-cang,lin-cang,20150701,6,94
yun-nan,lin-cang,lin-cang,20150801,7,254.9
yun-nan,lin-cang,lin-cang,20150901,8,181.3
yun-nan,lin-cang,lin-cang,20151001,9,179.4
yun-nan,lin-cang,lin-cang,20151101,10,102.7
yun-nan,lin-cang,lin-cang,20151201,11,42.8
yun-nan,lin-cang,lin-cang,20151231,12,30.1
yun-nan,lin-cang,yun-xian,20150201,1,121.3
yun-nan,lin-cang,yun-xian,20150301,2,4
yun-nan,lin-cang,yun-xian,20150401,3,24.5
yun-nan,lin-cang,yun-xian,20150501,4,39.3
yun-nan,lin-cang,yun-xian,20150601,5,2.6
yun-nan,lin-cang,yun-xian,20150701,6,24.3
yun-nan,lin-cang,yun-xian,20150801,7,214.8
yun-nan,lin-cang,yun-xian,20150901,8,150.8
yun-nan,lin-cang,yun-xian,20151001,9,142.7
yun-nan,lin-cang,yun-xian,20151101,10,88.8
yun-nan,lin-cang,yun-xian,20151201,11,19.7
yun-nan,lin-cang,yun-xian,20151231,12,14.3
yun-nan,lin-cang,feng-qing,20150201,1,173.4
yun-nan,lin-cang,feng-qing,20150301,2,7.2
yun-nan,lin-cang,feng-qing,20150401,3,38.3
yun-nan,lin-cang,feng-qing,20150501,4,56.1
yun-nan,lin-cang,feng-qing,20150601,5,4.5
yun-nan,lin-cang,feng-qing,20150701,6,61.9
yun-nan,lin-cang,feng-qing,20150801,7,240
yun-nan,lin-cang,feng-qing,20150901,8,189
yun-nan,lin-cang,feng-qing,20151001,9,188.1
yun-nan,lin-cang,feng-qing,20151101,10,173.4
yun-nan,lin-cang,feng-qing,20151201,11,32.1
yun-nan,lin-cang,feng-qing,20151231,12,23.4
yun-nan,lin-cang,shuang-jiang,20150201,1,212.3
yun-nan,lin-cang,shuang-jiang,20150301,2,6.9
yun-nan,lin-cang,shuang-jiang,20150401,3,5
yun-nan,lin-cang,shuang-jiang,20150501,4,35.4
yun-nan,lin-cang,shuang-jiang,20150601,5,79.6
yun-nan,lin-cang,shuang-jiang,20150701,6,53.2
yun-nan,lin-cang,shuang-jiang,20150801,7,237.6
yun-nan,lin-cang,shuang-jiang,20150901,8,146.2
yun-nan,lin-cang,shuang-jiang,20151001,9,52.7
yun-nan,lin-cang,shuang-jiang,20151101,10,89
yun-nan,lin-cang,shuang-jiang,20151201,11,91.1
yun-nan,lin-cang,shuang-jiang,20151231,12,35.2
yun-nan,lin-cang,yong-de,20150201,1,155.9
yun-nan,lin-cang,yong-de,20150301,2,9.9
yun-nan,lin-cang,yong-de,20150401,3,23
yun-nan,lin-cang,yong-de,20150501,4,68.8
yun-nan,lin-cang,yong-de,20150601,5,34.4
yun-nan,lin-cang,yong-de,20150701,6,76.7
yun-nan,lin-cang,yong-de,20150801,7,288.3
yun-nan,lin-cang,yong-de,20150901,8,182.7
yun-nan,lin-cang,yong-de,20151001,9,58.4
yun-nan,lin-cang,yong-de,20151101,10,61.6
yun-nan,lin-cang,yong-de,20151201,11,20.1
yun-nan,lin-cang,yong-de,20151231,12,20.6
yun-nan,lin-cang,cang-yuan,20150201,1,241.2
yun-nan,lin-cang,cang-yuan,20150301,2,7
yun-nan,lin-cang,cang-yuan,20150401,3,7.6
yun-nan,lin-cang,cang-yuan,20150501,4,82.5
yun-nan,lin-cang,cang-yuan,20150601,5,78.5
yun-nan,lin-cang,cang-yuan,20150701,6,200.1
yun-nan,lin-cang,cang-yuan,20150801,7,321.1
yun-nan,lin-cang,cang-yuan,20150901,8,255.7
yun-nan,lin-cang,cang-yuan,20151001,9,146.9
yun-nan,lin-cang,cang-yuan,20151101,10,75.9
yun-nan,lin-cang,cang-yuan,20151201,11,55.5
yun-nan,lin-cang,cang-yuan,20151231,12,31.7
yun-nan,lin-cang,geng-ma,20150201,1,179.1
yun-nan,lin-cang,geng-ma,20150301,2,3.7
yun-nan,lin-cang,geng-ma,20150401,3,9.8
yun-nan,lin-cang,geng-ma,20150501,4,43.2
yun-nan,lin-cang,geng-ma,20150601,5,48.1
yun-nan,lin-cang,geng-ma,20150701,6,106.1
yun-nan,lin-cang,geng-ma,20150801,7,294.4
yun-nan,lin-cang,geng-ma,20150901,8,199.3
yun-nan,lin-cang,geng-ma,20151001,9,73.3
yun-nan,lin-cang,geng-ma,20151101,10,56.2
yun-nan,lin-cang,geng-ma,20151201,11,67.5
